index,date,pattern,trend,type,signal
176,2025-07-30 00:00:00,Three Outside Up/Down,Spadkowa,Kontynuacja spadkowa,-100
179,2025-08-04 00:00:00,Spinning Top,Spadkowa,Kontynuacja spadkowa,-100
179,2025-08-04 00:00:00,Harami,Wzrostowa,Kontynuacja wzrostowa,100
180,2025-08-05 00:00:00,Spinning Top,Spadkowa,Kontynuacja spadkowa,-100
184,2025-08-11 00:00:00,Spinning Top,Spadkowa,Kontynuacja spadkowa,-100
184,2025-08-11 00:00:00,Harami,Spadkowa,Kontynuacja spadkowa,-100
190,2025-08-19 00:00:00,Spinning Top,Spadkowa,Kontynuacja spadkowa,-100
191,2025-08-20 00:00:00,Marubozu,Spadkowa,Kontynuacja spadkowa,-100
198,2025-08-29 00:00:00,Doji,Wzrostowa,Kontynuacja wzrostowa,100
198,2025-08-29 00:00:00,Spinning Top,Spadkowa,Kontynuacja spadkowa,-100
198,2025-08-29 00:00:00,Harami,Spadkowa,Kontynuacja spadkowa,-100
198,2025-08-29 00:00:00,Harami Cross,Spadkowa,Kontynuacja spadkowa,-100
199,2025-09-02 00:00:00,Spinning Top,Wzrostowa,Kontynuacja wzrostowa,100
201,2025-09-04 00:00:00,Hanging Man,Spadkowa,Odwrócenie spadkowe,-100
202,2025-09-05 00:00:00,Doji,Wzrostowa,Kontynuacja wzrostowa,100
202,2025-09-05 00:00:00,Spinning Top,Spadkowa,Kontynuacja spadkowa,-100
208,2025-09-15 00:00:00,Doji,Wzrostowa,Kontynuacja wzrostowa,100
208,2025-09-15 00:00:00,Spinning Top,Spadkowa,Kontynuacja spadkowa,-100
210,2025-09-17 00:00:00,Doji,Wzrostowa,Kontynuacja wzrostowa,100
210,2025-09-17 00:00:00,Spinning Top,Wzrostowa,Kontynuacja wzrostowa,100
211,2025-09-18 00:00:00,Engulfing,Spadkowa,Kontynuacja spadkowa,-100
214,2025-09-23 00:00:00,Harami,Spadkowa,Kontynuacja spadkowa,-100
217,2025-09-26 00:00:00,Harami,Spadkowa,Kontynuacja spadkowa,-100
218,2025-09-29 00:00:00,Doji,Wzrostowa,Kontynuacja wzrostowa,100
218,2025-09-29 00:00:00,Hammer,Wzrostowa,Odwrócenie wzrostowe,100
218,2025-09-29 00:00:00,Dragonfly Doji,Wzrostowa,Odwrócenie wzrostowe,100
218,2025-09-29 00:00:00,Spinning Top,Spadkowa,Kontynuacja spadkowa,-100
219,2025-09-30 00:00:00,Doji,Wzrostowa,Kontynuacja wzrostowa,100
219,2025-09-30 00:00:00,Spinning Top,Spadkowa,Kontynuacja spadkowa,-100
220,2025-10-01 00:00:00,Doji,Wzrostowa,Kontynuacja wzrostowa,100
220,2025-10-01 00:00:00,Shooting Star,Spadkowa,Odwrócenie spadkowe,-100
220,2025-10-01 00:00:00,Gravestone Doji,Wzrostowa,Kontynuacja wzrostowa,100
221,2025-10-02 00:00:00,Spinning Top,Wzrostowa,Kontynuacja wzrostowa,100
223,2025-10-06 00:00:00,Harami,Spadkowa,Kontynuacja spadkowa,-100
224,2025-10-07 00:00:00,Doji,Wzrostowa,Kontynuacja wzrostowa,100
224,2025-10-07 00:00:00,Spinning Top,Spadkowa,Kontynuacja spadkowa,-100
228,2025-10-13 00:00:00,Harami,Wzrostowa,Kontynuacja wzrostowa,100
230,2025-10-15 00:00:00,Doji,Wzrostowa,Kontynuacja wzrostowa,100
230,2025-10-15 00:00:00,Spinning Top,Spadkowa,Kontynuacja spadkowa,-100
236,2025-10-23 00:00:00,Doji,Wzrostowa,Kontynuacja wzrostowa,100
236,2025-10-23 00:00:00,Spinning Top,Spadkowa,Kontynuacja spadkowa,-100
236,2025-10-23 00:00:00,Harami,Wzrostowa,Kontynuacja wzrostowa,100
236,2025-10-23 00:00:00,Harami Cross,Wzrostowa,Kontynuacja wzrostowa,100
237,2025-10-24 00:00:00,Three Inside Up/Down,Wzrostowa,Kontynuacja wzrostowa,100
238,2025-10-27 00:00:00,Marubozu,Wzrostowa,Kontynuacja wzrostowa,100
239,2025-10-28 00:00:00,Doji,Wzrostowa,Kontynuacja wzrostowa,100
239,2025-10-28 00:00:00,Spinning Top,Wzrostowa,Kontynuacja wzrostowa,100
240,2025-10-29 00:00:00,Doji,Wzrostowa,Kontynuacja wzrostowa,100
240,2025-10-29 00:00:00,Spinning Top,Wzrostowa,Kontynuacja wzrostowa,100
241,2025-10-30 00:00:00,Spinning Top,Spadkowa,Kontynuacja spadkowa,-100
243,2025-11-03 00:00:00,Hammer,Wzrostowa,Odwrócenie wzrostowe,100
245,2025-11-05 00:00:00,Spinning Top,Wzrostowa,Kontynuacja wzrostowa,100
247,2025-11-07 00:00:00,Spinning Top,Spadkowa,Kontynuacja spadkowa,-100
248,2025-11-10 00:00:00,Doji,Wzrostowa,Kontynuacja wzrostowa,100
248,2025-11-10 00:00:00,Spinning Top,Wzrostowa,Kontynuacja wzrostowa,100
250,2025-11-12 00:00:00,Marubozu,Spadkowa,Kontynuacja spadkowa,-100
